Metadata_Plate,Metadata_Well,Metadata_Channel,filename,URL
BR00117022,I03,URL_OrigDNA,r09c03f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r09c03f01p01-ch5sk1fk1fl1.tiff
BR00117022,I04,URL_OrigDNA,r09c04f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r09c04f01p01-ch5sk1fk1fl1.tiff
BR00117022,I05,URL_OrigDNA,r09c05f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r09c05f01p01-ch5sk1fk1fl1.tiff
BR00117022,I06,URL_OrigDNA,r09c06f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r09c06f01p01-ch5sk1fk1fl1.tiff
BR00117022,I07,URL_OrigDNA,r09c07f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r09c07f01p01-ch5sk1fk1fl1.tiff
BR00117022,I08,URL_OrigDNA,r09c08f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r09c08f01p01-ch5sk1fk1fl1.tiff
BR00117022,I09,URL_OrigDNA,r09c09f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r09c09f01p01-ch5sk1fk1fl1.tiff
BR00117022,I10,URL_OrigDNA,r09c10f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r09c10f01p01-ch5sk1fk1fl1.tiff
BR00117022,I11,URL_OrigDNA,r09c11f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r09c11f01p01-ch5sk1fk1fl1.tiff
BR00117022,I12,URL_OrigDNA,r09c12f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r09c12f01p01-ch5sk1fk1fl1.tiff
BR00117022,I13,URL_OrigDNA,r09c13f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r09c13f01p01-ch5sk1fk1fl1.tiff
BR00117022,I14,URL_OrigDNA,r09c14f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r09c14f01p01-ch5sk1fk1fl1.tiff
BR00117022,I15,URL_OrigDNA,r09c15f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r09c15f01p01-ch5sk1fk1fl1.tiff
BR00117022,I16,URL_OrigDNA,r09c16f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r09c16f01p01-ch5sk1fk1fl1.tiff
BR00117022,I17,URL_OrigDNA,r09c17f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r09c17f01p01-ch5sk1fk1fl1.tiff
BR00117022,I18,URL_OrigDNA,r09c18f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r09c18f01p01-ch5sk1fk1fl1.tiff
BR00117022,I19,URL_OrigDNA,r09c19f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r09c19f01p01-ch5sk1fk1fl1.tiff
BR00117022,I20,URL_OrigDNA,r09c20f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r09c20f01p01-ch5sk1fk1fl1.tiff
BR00117022,I21,URL_OrigDNA,r09c21f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r09c21f01p01-ch5sk1fk1fl1.tiff
